tmdb_id,keywords
9599,"[{'id': 627, 'name': 'killing'}, {'id': 1388, 'name': 'cinema'}, {'id': 3092, 'name': 'slime'}, {'id': 3444, 'name': 'disgust'}, {'id': 4803, 'name': 'comet'}, {'id': 5198, 'name': 'cold'}, {'id': 6898, 'name': 'quarantine'}, {'id': 9639, 'name': 'playboy'}, {'id': 9714, 'name': 'remake'}, {'id': 9951, 'name': 'alien'}, {'id': 11612, 'name': 'hospital'}, {'id': 41412, 'name': 'sewer'}, {'id': 160195, 'name': 'freezer'}, {'id': 162365, 'name': 'military'}, {'id': 237034, 'name': 'liquefaction'}, {'id': 237036, 'name': 'bad boy'}]"
17792,[]
53406,"[{'id': 12999, 'name': 'black and white'}, {'id': 154802, 'name': 'silent film'}]"
49475,"[{'id': 224663, 'name': 'new french extremism'}]"
253377,[]
15877,"[{'id': 6057, 'name': 'peace'}, {'id': 156282, 'name': 'alternate reality'}, {'id': 156290, 'name': 'meat pie'}, {'id': 169970, 'name': 'child smoking'}, {'id': 179430, 'name': 'aftercreditsstinger'}]"
73529,"[{'id': 310, 'name': 'artificial intelligence'}, {'id': 679, 'name': 'cyborg'}, {'id': 818, 'name': 'based on novel'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 14536, 'name': 'crime'}, {'id': 157204, 'name': 'girls with guns'}, {'id': 210024, 'name': 'anime'}, {'id': 231532, 'name': 'incest victim'}]"
50204,"[{'id': 1786, 'name': 'heart attack'}, {'id': 4553, 'name': 'black humor'}, {'id': 4715, 'name': 'autopsy'}, {'id': 9826, 'name': 'murder'}, {'id': 14624, 'name': 'cruelty'}, {'id': 14625, 'name': 'anti villain'}, {'id': 158741, 'name': 'grave digger'}]"
18652,"[{'id': 10183, 'name': 'independent film'}]"
416499,"[{'id': 701, 'name': 'cuba'}, {'id': 5282, 'name': 'rolling stones'}, {'id': 6027, 'name': 'music'}, {'id': 6029, 'name': 'concert'}, {'id': 168186, 'name': 'havana cuba'}]"
381032,"[{'id': 255, 'name': 'male nudity'}, {'id': 293, 'name': 'female nudity'}, {'id': 2483, 'name': 'nudity'}, {'id': 2679, 'name': 'artist'}, {'id': 3358, 'name': 'haunted house'}, {'id': 4552, 'name': 'beer'}, {'id': 6593, 'name': 'stripper'}, {'id': 10224, 'name': 'haunting'}, {'id': 11826, 'name': 'cottage'}, {'id': 159939, 'name': 'ghost hunter'}, {'id': 162846, 'name': 'ghost'}]"
31068,"[{'id': 187056, 'name': 'woman director'}]"
1836,"[{'id': 2316, 'name': ""women's sexual identity""}, {'id': 2751, 'name': 'career woman'}, {'id': 2818, 'name': 'vernissage'}, {'id': 2820, 'name': 'wound'}, {'id': 3731, 'name': 'illness and injury'}, {'id': 4728, 'name': 'knife'}, {'id': 5836, 'name': 'self-inflicted injury'}, {'id': 6255, 'name': 'insanity'}, {'id': 10292, 'name': 'gore'}, {'id': 187056, 'name': 'woman director'}, {'id': 224663, 'name': 'new french extremism'}]"
10294,"[{'id': 2669, 'name': 'motel'}, {'id': 3979, 'name': 'hidden camera'}, {'id': 5254, 'name': 'remoteness'}, {'id': 9758, 'name': 'deception'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 15127, 'name': 'killer'}, {'id': 18029, 'name': 'trapped'}, {'id': 50009, 'name': 'survival horror'}, {'id': 162904, 'name': 'estranged couple'}, {'id': 162913, 'name': 'broken down car'}, {'id': 162914, 'name': 'one night'}, {'id': 201713, 'name': 'isolated'}]"
57855,"[{'id': 3593, 'name': 'wilderness'}, {'id': 6054, 'name': 'friendship'}, {'id': 11338, 'name': 'wild animal'}]"
2210,"[{'id': 246, 'name': 'dancing'}, {'id': 572, 'name': 'sex'}, {'id': 1566, 'name': 'dream'}, {'id': 4344, 'name': 'musical'}, {'id': 6149, 'name': 'police'}, {'id': 7984, 'name': 'bikini'}, {'id': 8181, 'name': 'swimming pool'}, {'id': 9749, 'name': 'beauty salon'}, {'id': 9799, 'name': 'romantic comedy'}, {'id': 9831, 'name': 'spaceship'}, {'id': 9840, 'name': 'romance'}, {'id': 9951, 'name': 'alien'}, {'id': 11128, 'name': 'furry'}, {'id': 11612, 'name': 'hospital'}, {'id': 34130, 'name': 'makeover'}, {'id': 163957, 'name': 'nosy neighbor'}, {'id': 177299, 'name': 'discotheque'}, {'id': 177303, 'name': 'valley girl'}]"
390991,"[{'id': 9716, 'name': 'stand-up comedy'}, {'id': 11724, 'name': 'vulgarity'}, {'id': 18402, 'name': 'strong language'}, {'id': 33731, 'name': 'stand-up comedian'}, {'id': 165347, 'name': 'swearing'}, {'id': 220192, 'name': 'dirty joke'}]"
13841,"[{'id': 10558, 'name': 'bmx'}]"
75612,"[{'id': 1612, 'name': 'spacecraft'}, {'id': 4565, 'name': 'dystopia'}, {'id': 9882, 'name': 'space'}, {'id': 11930, 'name': 'drone'}, {'id': 156395, 'name': 'imax'}, {'id': 186497, 'name': 'human vs alien'}]"
49081,"[{'id': 3356, 'name': 'quebec'}, {'id': 6075, 'name': 'sport'}, {'id': 6483, 'name': 'ice hockey'}, {'id': 7813, 'name': 'hockey player'}, {'id': 234587, 'name': 'montreal canadiens'}]"
18666,"[{'id': 779, 'name': 'martial arts'}, {'id': 780, 'name': 'kung fu'}, {'id': 1721, 'name': 'fight'}]"
20811,"[{'id': 779, 'name': 'martial arts'}, {'id': 780, 'name': 'kung fu'}, {'id': 3436, 'name': 'karate'}, {'id': 12670, 'name': 'los angeles'}, {'id': 185466, 'name': 'kung fu master'}]"
15022,"[{'id': 579, 'name': 'american football'}, {'id': 2483, 'name': 'nudity'}, {'id': 2920, 'name': 'cheerleader'}, {'id': 5399, 'name': 'challenge'}, {'id': 6270, 'name': 'high school'}, {'id': 8508, 'name': 'party'}, {'id': 9864, 'name': 'prank'}, {'id': 10508, 'name': 'teacher'}, {'id': 10624, 'name': 'bully'}]"
26761,"[{'id': 2102, 'name': 'brother-in-law'}, {'id': 2801, 'name': 'self-defense'}, {'id': 3030, 'name': 'nightmare'}, {'id': 5707, 'name': 'childhood trauma'}, {'id': 17981, 'name': 'foster sister'}, {'id': 195402, 'name': 'film noir'}]"
148353,[]
317121,"[{'id': 1253, 'name': 'roommate'}, {'id': 9799, 'name': 'romantic comedy'}, {'id': 10911, 'name': 'inheritance'}, {'id': 165301, 'name': 'opposites attract'}, {'id': 182804, 'name': 'home renovation'}]"
22311,"[{'id': 2483, 'name': 'nudity'}, {'id': 2652, 'name': 'nazis'}, {'id': 6158, 'name': 'cult'}, {'id': 10601, 'name': 'blaxploitation'}, {'id': 10685, 'name': 'escape'}, {'id': 12371, 'name': 'gunfight'}, {'id': 14601, 'name': 'explosion'}, {'id': 14643, 'name': 'battle'}]"
56344,[]
13637,"[{'id': 1462, 'name': 'samurai'}, {'id': 9714, 'name': 'remake'}, {'id': 13132, 'name': 'pistol'}]"
32450,"[{'id': 2415, 'name': 'idiot'}, {'id': 9253, 'name': 'slapstick'}, {'id': 157768, 'name': 'vaudeville'}]"
34303,"[{'id': 5970, 'name': 'wrestling'}, {'id': 6075, 'name': 'sport'}, {'id': 11431, 'name': 'wrestler'}]"
81672,"[{'id': 293, 'name': 'female nudity'}, {'id': 3182, 'name': 'seduction'}, {'id': 14669, 'name': 'older man younger woman relationship'}, {'id': 33780, 'name': 'dentist'}, {'id': 33841, 'name': 'incest'}, {'id': 41329, 'name': 'mental illness'}, {'id': 211279, 'name': 'erotica'}, {'id': 231641, 'name': 'unfaithful husband'}, {'id': 235854, 'name': 'crazy mother'}, {'id': 235855, 'name': ""sex with friend's father""}, {'id': 235856, 'name': 'father daughter incest'}]"
38614,[]
18691,"[{'id': 165870, 'name': 'riverboat'}]"
12309,"[{'id': 1338, 'name': 'bachelor'}, {'id': 1797, 'name': 'loyalty'}, {'id': 4144, 'name': 'donkey'}, {'id': 8070, 'name': 'stag night'}, {'id': 8508, 'name': 'party'}, {'id': 13027, 'name': 'wedding'}]"
165066,[]
269518,"[{'id': 212518, 'name': 'photos'}]"
42521,[]
313943,"[{'id': 14909, 'name': 'alien invasion'}]"
33729,"[{'id': 242, 'name': 'new york'}, {'id': 191440, 'name': 'jewish family'}]"
22200,"[{'id': 9673, 'name': 'love'}, {'id': 10183, 'name': 'independent film'}, {'id': 10228, 'name': 'aspiring singer'}, {'id': 10229, 'name': 'singer'}]"
269258,[]
77198,"[{'id': 395, 'name': 'gambling'}, {'id': 2673, 'name': 'horse'}, {'id': 5683, 'name': 'family business '}, {'id': 10786, 'name': 'colonel'}, {'id': 41185, 'name': 'heiress'}]"
390526,[]
19414,"[{'id': 1992, 'name': 'professor'}, {'id': 9799, 'name': 'romantic comedy'}, {'id': 14531, 'name': 'play'}, {'id': 156273, 'name': 'critic'}, {'id': 163110, 'name': 'theater'}]"
69872,"[{'id': 572, 'name': 'sex'}, {'id': 924, 'name': 'italian'}, {'id': 2483, 'name': 'nudity'}, {'id': 8087, 'name': 'horror'}, {'id': 9826, 'name': 'murder'}, {'id': 11039, 'name': 'giallo'}, {'id': 14819, 'name': 'violence'}, {'id': 200957, 'name': 'degenerate'}]"
68098,"[{'id': 167043, 'name': 'road movie'}]"
36522,[]
108353,[]
86172,"[{'id': 818, 'name': 'based on novel'}]"
244268,"[{'id': 10180, 'name': 'homosexuality'}, {'id': 10183, 'name': 'independent film'}, {'id': 13027, 'name': 'wedding'}, {'id': 14512, 'name': 'new york city'}]"
434336,[]
203720,[]
28219,[]
39227,"[{'id': 588, 'name': 'rome'}, {'id': 13088, 'name': 'summer'}, {'id': 13130, 'name': 'teenager'}, {'id': 15016, 'name': 'twins'}, {'id': 15479, 'name': 'fashion'}, {'id': 163963, 'name': 'summer job'}]"
24961,"[{'id': 4232, 'name': 'melancholy'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 155462, 'name': 'little dog'}, {'id': 165317, 'name': 'based on movie'}, {'id': 177912, 'name': 'wizard'}]"
356201,[]
322740,"[{'id': 237, 'name': 'gay'}, {'id': 1161, 'name': 'brazil'}]"
60747,"[{'id': 380, 'name': 'brother brother relationship'}, {'id': 4278, 'name': 'invasion'}, {'id': 9714, 'name': 'remake'}, {'id': 11031, 'name': 'guerrilla warfare'}, {'id': 41344, 'name': 'north korean'}]"
40348,"[{'id': 293, 'name': 'female nudity'}, {'id': 409, 'name': 'africa'}, {'id': 572, 'name': 'sex'}, {'id': 1003, 'name': 'photographer'}, {'id': 15136, 'name': 'female homosexuality'}, {'id': 180340, 'name': 'voyeur'}, {'id': 190370, 'name': 'erotic movie'}]"
14570,"[{'id': 780, 'name': 'kung fu'}, {'id': 3436, 'name': 'karate'}, {'id': 14988, 'name': 'asian'}, {'id': 175821, 'name': 'gymnast'}]"
303680,"[{'id': 237, 'name': 'gay'}, {'id': 158718, 'name': 'lgbt'}]"
175339,[]
68663,"[{'id': 10183, 'name': 'independent film'}, {'id': 187056, 'name': 'woman director'}]"
42409,[]
391778,[]
18809,"[{'id': 10267, 'name': 'comedy'}, {'id': 156203, 'name': 'sketch comedy'}]"
74561,[]
19728,"[{'id': 2504, 'name': 'world war i'}, {'id': 2533, 'name': 'fighter pilot'}, {'id': 168615, 'name': 'biplane'}, {'id': 189408, 'name': 'flying ace'}]"
17218,"[{'id': 395, 'name': 'gambling'}, {'id': 396, 'name': 'transporter'}, {'id': 2792, 'name': 'boxer'}, {'id': 4487, 'name': 'boxing match'}, {'id': 6075, 'name': 'sport'}, {'id': 155436, 'name': 'classic noir'}, {'id': 155453, 'name': 'gritty'}]"
71034,[]
11446,"[{'id': 970, 'name': 'parent child relationship'}, {'id': 1156, 'name': 'sister sister relationship'}, {'id': 2422, 'name': 'mockery'}, {'id': 2544, 'name': 'ugliness'}, {'id': 10183, 'name': 'independent film'}, {'id': 12663, 'name': 'little girl'}, {'id': 190116, 'name': 'school life'}]"
336807,"[{'id': 13130, 'name': 'teenager'}, {'id': 187677, 'name': 'medical school'}, {'id': 201497, 'name': 'arabic'}]"
14190,"[{'id': 8029, 'name': 'drama'}]"
312152,"[{'id': 1740, 'name': 'pop culture'}, {'id': 7059, 'name': 'anti-communism'}, {'id': 11616, 'name': 'vhs'}, {'id': 18239, 'name': 'home video'}, {'id': 187056, 'name': 'woman director'}, {'id': 208289, 'name': '1980s'}, {'id': 208916, 'name': 'movies'}]"
30923,"[{'id': 12552, 'name': 'alice in wonderland'}, {'id': 15199, 'name': 'rabbit'}, {'id': 191102, 'name': 'tea party'}]"
42617,"[{'id': 392, 'name': 'england'}, {'id': 526, 'name': 'rebel'}, {'id': 974, 'name': 'bank'}, {'id': 1652, 'name': 'bread'}, {'id': 2020, 'name': 'revolution'}, {'id': 2041, 'name': 'island'}, {'id': 3136, 'name': 'plantation'}, {'id': 6731, 'name': 'british'}, {'id': 8570, 'name': 'president'}, {'id': 11196, 'name': 'rebellion'}, {'id': 158217, 'name': 'colonialism'}, {'id': 160400, 'name': 'sugar'}, {'id': 160912, 'name': 'fictional country'}, {'id': 167861, 'name': 'caribbean'}, {'id': 189398, 'name': 'portuguese'}, {'id': 189399, 'name': 'militant'}]"
53516,[]
183108,[]
26302,"[{'id': 10183, 'name': 'independent film'}]"
32536,"[{'id': 1004, 'name': 'commercial'}, {'id': 3307, 'name': 'surreal'}, {'id': 9887, 'name': 'surrealism'}, {'id': 13007, 'name': 'spoon'}, {'id': 33573, 'name': 'banana'}, {'id': 201069, 'name': 'commercialism'}, {'id': 211427, 'name': 'anus'}]"
163523,[]
24381,[]
8316,"[{'id': 1244, 'name': 'hungary'}, {'id': 2389, 'name': 'virgin'}, {'id': 3258, 'name': 'beauty'}, {'id': 3633, 'name': 'dracula'}, {'id': 4995, 'name': 'aging'}, {'id': 5565, 'name': 'biography'}, {'id': 5689, 'name': 'slovakia'}, {'id': 5878, 'name': 'baroness'}, {'id': 9886, 'name': 'countess'}, {'id': 9937, 'name': 'suspense'}, {'id': 14751, 'name': 'youth'}, {'id': 40931, 'name': 'witchcraft'}, {'id': 162792, 'name': 'historically inaccurate'}, {'id': 163079, 'name': 'revisionist history'}, {'id': 174960, 'name': 'vanity'}, {'id': 183434, 'name': 'noblewoman'}, {'id': 183435, 'name': 'bloodbath'}, {'id': 187056, 'name': 'woman director'}]"
200325,[]
94709,[]
90873,[]
194883,"[{'id': 11061, 'name': 'debt'}]"
348678,"[{'id': 4553, 'name': 'black humor'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 11258, 'name': 'suicidal'}, {'id': 18011, 'name': 'pregnant woman'}, {'id': 157223, 'name': 'bitterness'}, {'id': 228842, 'name': 'saab'}, {'id': 228843, 'name': 'volvo'}]"
12509,"[{'id': 2679, 'name': 'artist'}, {'id': 3836, 'name': 'success'}, {'id': 5625, 'name': 'relationship problems'}, {'id': 7464, 'name': 'alcoholism'}, {'id': 10183, 'name': 'independent film'}, {'id': 13072, 'name': 'falling in love'}]"
40812,[]
206487,"[{'id': 4379, 'name': 'time travel'}]"
104185,[]
29427,"[{'id': 321, 'name': 'terror'}, {'id': 1865, 'name': 'biological weapon'}, {'id': 9665, 'name': 'cover-up'}, {'id': 15085, 'name': 'splatter'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 188957, 'name': 'virus'}]"
82687,"[{'id': 1436, 'name': 'inventor'}, {'id': 7312, 'name': 'road trip'}, {'id': 33720, 'name': 'guilt'}, {'id': 157499, 'name': 'mother son relationship'}, {'id': 187056, 'name': 'woman director'}]"
36138,"[{'id': 209817, 'name': 'political thriller'}, {'id': 222719, 'name': 'weapons trafficking'}, {'id': 222720, 'name': 'government secrets'}]"
46804,[]
60213,[]
13748,[]
17044,[]
333667,"[{'id': 953, 'name': 'guitar'}, {'id': 2487, 'name': 'naivety'}, {'id': 4048, 'name': 'musician'}, {'id': 5288, 'name': 'rock'}, {'id': 5331, 'name': 'village'}, {'id': 10336, 'name': 'animation'}, {'id': 11500, 'name': 'anthropomorphism'}, {'id': 15162, 'name': 'dog'}, {'id': 234884, 'name': 'mastiff'}]"
247451,"[{'id': 229206, 'name': 'british noir'}]"
98948,"[{'id': 840, 'name': 'usa president'}, {'id': 8570, 'name': 'president'}, {'id': 9950, 'name': 'thriller'}, {'id': 12377, 'name': 'zombie'}, {'id': 15077, 'name': 'horror movie'}]"
6935,"[{'id': 6955, 'name': 'parkour'}]"
70926,[]
206657,[]
180635,"[{'id': 378, 'name': 'prison'}, {'id': 10048, 'name': 'unrequited love'}, {'id': 33780, 'name': 'dentist'}]"
79940,"[{'id': 1946, 'name': 'restaurant'}, {'id': 1994, 'name': 'wolf'}, {'id': 6490, 'name': 'shopping mall'}, {'id': 11614, 'name': 'filmmaker'}, {'id': 199156, 'name': 'billion dollars'}, {'id': 199157, 'name': 'fake commercial'}]"
391663,"[{'id': 2132, 'name': 'literature'}, {'id': 5565, 'name': 'biography'}, {'id': 13028, 'name': 'writer'}, {'id': 161256, 'name': 'third reich'}, {'id': 187056, 'name': 'woman director'}]"
45752,[]
57953,"[{'id': 1329, 'name': 'canada'}, {'id': 2522, 'name': 'grizzly bear'}, {'id': 3593, 'name': 'wilderness'}, {'id': 3664, 'name': 'research'}, {'id': 206850, 'name': 'canuxploitation'}]"
99627,"[{'id': 8508, 'name': 'party'}, {'id': 9639, 'name': 'playboy'}, {'id': 14818, 'name': 'model'}, {'id': 191207, 'name': 'uptown'}]"
14911,"[{'id': 818, 'name': 'based on novel'}]"
78094,[]
18988,"[{'id': 392, 'name': 'england'}, {'id': 1326, 'name': 'infidelity'}, {'id': 1505, 'name': 'famous score'}, {'id': 2011, 'name': 'queen'}, {'id': 3098, 'name': 'castle'}, {'id': 10306, 'name': 'king henry ii'}, {'id': 11510, 'name': 'unfaithfulness'}, {'id': 11869, 'name': 'mistress'}, {'id': 13084, 'name': 'king'}, {'id': 18096, 'name': 'spear'}, {'id': 41151, 'name': 'throne'}, {'id': 157096, 'name': 'homoeroticism'}, {'id': 207317, 'name': 'christmas'}]"
186766,[]
68450,"[{'id': 6075, 'name': 'sport'}, {'id': 183493, 'name': 'snowboard'}]"
16900,"[{'id': 10037, 'name': 'le mans'}, {'id': 10038, 'name': 'audi'}, {'id': 10039, 'name': 'racing'}, {'id': 10040, 'name': 'automotive'}]"
40216,"[{'id': 2702, 'name': 'golf'}, {'id': 15076, 'name': 'cat and mouse'}, {'id': 15228, 'name': 'golf course'}, {'id': 15284, 'name': 'cartoon cat'}, {'id': 155325, 'name': 'cartoon mouse'}, {'id': 155655, 'name': 'tom and jerry'}]"
369594,"[{'id': 90, 'name': 'paris'}, {'id': 220, 'name': 'berlin'}, {'id': 2800, 'name': 'psychology'}, {'id': 6054, 'name': 'friendship'}, {'id': 14512, 'name': 'new york city'}, {'id': 169635, 'name': 'psychological drama'}]"
133148,[]
92848,"[{'id': 3616, 'name': 'college'}, {'id': 13008, 'name': 'train'}, {'id': 15016, 'name': 'twins'}, {'id': 226872, 'name': 'jusge'}]"
78293,"[{'id': 90, 'name': 'paris'}, {'id': 255, 'name': 'male nudity'}, {'id': 293, 'name': 'female nudity'}, {'id': 1200, 'name': 'greece'}, {'id': 3532, 'name': 'tangier morocco'}, {'id': 9673, 'name': 'love'}, {'id': 9937, 'name': 'suspense'}, {'id': 10131, 'name': 'interracial relationship'}, {'id': 10768, 'name': 'lesbian'}, {'id': 12999, 'name': 'black and white'}, {'id': 15363, 'name': 'bank robbery'}, {'id': 155262, 'name': 'threesome'}, {'id': 193226, 'name': 'madrid spain'}, {'id': 226518, 'name': 'souvenir shop'}]"
4638,"[{'id': 5331, 'name': 'village'}, {'id': 5638, 'name': 'arrest'}, {'id': 6149, 'name': 'police'}, {'id': 9104, 'name': 'partner'}, {'id': 9826, 'name': 'murder'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 12371, 'name': 'gunfight'}, {'id': 167268, 'name': 'police force'}, {'id': 167284, 'name': 'cowboy costume'}, {'id': 207819, 'name': 'accident'}]"
322266,[]
407204,"[{'id': 1646, 'name': 'autism'}, {'id': 6075, 'name': 'sport'}, {'id': 12380, 'name': 'tournament'}, {'id': 18249, 'name': 'game'}, {'id': 158558, 'name': 'disabled'}, {'id': 238856, 'name': 'petanque'}, {'id': 238857, 'name': 'disfigured'}]"
242475,"[{'id': 193430, 'name': 'street kid'}]"
110283,[]
8698,"[{'id': 83, 'name': 'saving the world'}, {'id': 3133, 'name': 'vampire'}, {'id': 4197, 'name': 'bite'}, {'id': 5458, 'name': 'men'}, {'id': 160130, 'name': 'invisible man'}, {'id': 191409, 'name': 'captain nemo'}, {'id': 191439, 'name': 'allan quatermain'}, {'id': 206581, 'name': 'venezia'}, {'id': 232533, 'name': 'immortal'}]"
25801,[]
257214,[]
31638,"[{'id': 155530, 'name': 'capsized ship'}]"
9348,"[{'id': 1475, 'name': 'telepathy'}, {'id': 1718, 'name': 'dna'}, {'id': 2340, 'name': 'paranoia'}, {'id': 6017, 'name': 'genetics'}, {'id': 6245, 'name': 'instinct'}, {'id': 9016, 'name': 'femme fatale'}, {'id': 9951, 'name': 'alien'}, {'id': 10562, 'name': 'on the run'}, {'id': 11181, 'name': 'decapitation'}, {'id': 11190, 'name': 'sexual attraction'}, {'id': 12670, 'name': 'los angeles'}, {'id': 163481, 'name': 'cocoon'}, {'id': 163561, 'name': 'genetic engineering'}, {'id': 234319, 'name': 'scientists'}, {'id': 235513, 'name': 'alien dna'}]"
41970,"[{'id': 10183, 'name': 'independent film'}]"
2349,"[{'id': 1605, 'name': 'new love'}, {'id': 1741, 'name': 'blindness and impaired vision'}, {'id': 2139, 'name': 'russia'}, {'id': 2726, 'name': 'therapist'}, {'id': 2875, 'name': 'sense of life'}, {'id': 6521, 'name': 'theatre director'}, {'id': 164713, 'name': 'hamburg germany'}, {'id': 167043, 'name': 'road movie'}]"
61820,"[{'id': 6091, 'name': 'war'}, {'id': 187056, 'name': 'woman director'}]"
342165,"[{'id': 11168, 'name': 'private investigator'}]"
169209,"[{'id': 10051, 'name': 'heist'}, {'id': 159660, 'name': 'armored truck'}]"
857,"[{'id': 1327, 'name': 'war crimes'}, {'id': 1430, 'name': 'self sacrifice'}, {'id': 1543, 'name': 'war veteran'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2770, 'name': 'war ship'}, {'id': 3800, 'name': 'airplane'}, {'id': 3930, 'name': 'bravery'}, {'id': 4299, 'name': 'normandy'}, {'id': 4300, 'name': 'parachute'}, {'id': 4302, 'name': 'troops'}, {'id': 4303, 'name': 'waffen ss'}, {'id': 4304, 'name': 'omaha beach'}, {'id': 6092, 'name': 'army'}, {'id': 7956, 'name': 'cowardice'}, {'id': 11108, 'name': 'american flag'}, {'id': 11111, 'name': 'war memorial'}, {'id': 11371, 'name': 'deserted town'}, {'id': 162365, 'name': 'military'}, {'id': 207883, 'name': '1940s'}]"
436305,"[{'id': 187056, 'name': 'woman director'}]"
106591,[]
44117,"[{'id': 9937, 'name': 'suspense'}]"
2486,"[{'id': 818, 'name': 'based on novel'}, {'id': 5457, 'name': 'mythical creature'}, {'id': 12554, 'name': 'dragon'}, {'id': 170362, 'name': 'fantasy world'}, {'id': 188178, 'name': 'teenage hero'}, {'id': 223438, 'name': 'based on young adult novel'}]"
457962,[]
100812,[]
29014,"[{'id': 779, 'name': 'martial arts'}, {'id': 43591, 'name': 'pedicab'}]"
47340,"[{'id': 293, 'name': 'female nudity'}, {'id': 1767, 'name': 'electric fence'}, {'id': 2483, 'name': 'nudity'}, {'id': 3094, 'name': 'australian'}, {'id': 5657, 'name': 'australia'}, {'id': 9887, 'name': 'surrealism'}, {'id': 10183, 'name': 'independent film'}, {'id': 10339, 'name': 'drive-in theatre'}, {'id': 10471, 'name': 'cult favorite'}, {'id': 12417, 'name': 'tow truck'}, {'id': 205624, 'name': 'ozploitation'}]"
90148,"[{'id': 7606, 'name': 'dictatorship'}, {'id': 11289, 'name': 'woman reporter'}, {'id': 13006, 'name': 'torture'}, {'id': 187056, 'name': 'woman director'}]"
53573,"[{'id': 209811, 'name': 'slumlord'}]"
96118,"[{'id': 3457, 'name': 'cellist'}, {'id': 156273, 'name': 'critic'}, {'id': 214480, 'name': 'music critic'}]"
328594,[]
15227,"[{'id': 679, 'name': 'cyborg'}, {'id': 3801, 'name': 'space travel'}, {'id': 9748, 'name': 'revenge'}, {'id': 9882, 'name': 'space'}, {'id': 12375, 'name': 'transhumanism'}, {'id': 13008, 'name': 'train'}]"
79823,"[{'id': 2726, 'name': 'therapist'}, {'id': 3344, 'name': 'letter'}, {'id': 9826, 'name': 'murder'}, {'id': 12339, 'name': 'slasher'}, {'id': 14781, 'name': 'patient'}, {'id': 14819, 'name': 'violence'}]"
47825,[]
265169,[]
283322,"[{'id': 2658, 'name': 'new zealand'}, {'id': 2659, 'name': 'maori'}, {'id': 9748, 'name': 'revenge'}, {'id': 172839, 'name': 'historical society'}, {'id': 173455, 'name': 'tribal warfare'}]"
19554,"[{'id': 699, 'name': 'love at first sight'}, {'id': 6506, 'name': 'resurrection'}, {'id': 10183, 'name': 'independent film'}, {'id': 10225, 'name': 'pageant'}]"
59981,[]
3581,"[{'id': 212, 'name': 'london england'}, {'id': 392, 'name': 'england'}, {'id': 570, 'name': 'rape'}, {'id': 770, 'name': 'scotland yard'}, {'id': 1552, 'name': 'subway'}, {'id': 5439, 'name': 'inspector'}, {'id': 10183, 'name': 'independent film'}, {'id': 13008, 'name': 'train'}, {'id': 14895, 'name': 'cannibal'}, {'id': 208048, 'name': 'cannibalism'}]"
55699,"[{'id': 2111, 'name': 'soviet union'}, {'id': 2139, 'name': 'russia'}, {'id': 2334, 'name': 'nightclub'}]"
132714,[]
