adult,belongs_to_collection,budget,genres,homepage,tmdb_id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 18, 'name': 'Drama'}]",,43614,tt1356928,fr,Le père de mes enfants,"Gregoire Canvel has everything a man could want: a wife he loves, three delightful children and his dream job - he is a film producer. Discovering talented filmmakers and developing films that fit his conception of the cinema, free and true to life, is precisely his reason for living. Gregoire devotes almost all of his time and energy to his work. Although he spends weekends with his family at their house in the country, even these precious moments are regularly interrupted by demanding directors and concerned investors. While Gregoires very presence commands admiration, and his exceptional charisma lead many to believe he is invincible, the future of his prestigious production company, Moon Films, is in doubt; too many productions, too many risks, too many debts. Storm clouds are gathering, and Gregoires realisation that he may have made one gamble too many will trigger a series of events that will change the lives of his family forever.",1.389502,/f9kRv5aPeRAXWqvjn4HSAmT6DvH.jpg,"[{'name': 'Lighthouse Pictures', 'id': 6345}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2009-12-16,0,110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,A film producer struggles with suicidal despair.,Father of My Children,False,6.8,19
False,,350000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,28940,tt0083869,en,Eating Raoul,"A relatively boring Los Angeles couple discover a bizarre, if not murderous way to get funding for opening a restaurant.",11.758627,/1B37isseQEN81emH0nSzuMWOCyl.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1982-03-24,0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A tasty comedy of bad manners.,Eating Raoul,False,7.0,32
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",,43144,tt0052394,en,The Wild Women of Wongo,"On the tropical island of Wongo, a tribe of beautiful women discover that the other side of the island is inhabited by a tribe of handsome men. They also discover that a tribe of evil ape men live on the island, too, and the ape men are planning a raid on the tribe in order to capture mates.",0.599872,/fGLaZsaiboRfXswvtEJ0ctnRsAW.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1958-01-01,0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Wild Women of Wongo,False,3.3,6
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,17218,tt0041859,en,The Set-Up,"Stoker Thompson is a 35-year-old has-been boxer. His once-promising fighting career has come crashing to the end. Tiny, Stoker's manager, is sure he will continue to lose fights, so he takes money for a ""dive"" from a mobster, but is so sure that Thompson will lose that he doesn't tell the boxer about the set-up. At the beginning of the last round of the vicious boxing match he learns of the fix.",1.989167,/uxE5LZP0RClXKsAqtrHQPiNLHzf.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1949-04-02,0,73.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,I want a man...not a human punching bag!,The Set-Up,False,6.8,21
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.milkthedocumentaryfilm.com/,245963,tt2251090,en,Milk?,"Using engaging interviews and arresting visuals, this documentary investigates the case for milk as a nutritious food. Is milk good for us or not?",0.084948,/iQ9GdYYgec1tLFrGtXSfvYhijow.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2014-09-01,0,58.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Elucidating the truth,Milk?,False,0.0,0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,80970,tt0125806,fr,Jeunes filles impudiques,Two female hitchhikers get mixed up with a gang of thieves and their stolen jewelery.,0.048597,/tPFhhWSq4KBeoaVzBH8XhQf9omR.jpg,"[{'name': 'Les Films ABC', 'id': 9384}, {'name': 'Avia Films', 'id': 14204}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1973-08-16,0,74.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,Sex Kittens who stop at nothing,Schoolgirl Hitchhikers,False,3.2,7
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,1836,tt0337961,fr,Dans ma peau,"Esther, a self-conscious young woman who works for a public relations firm. One night at a party with her friend Sandrine, Esther wanders into the backyard and stumbles, scratching her leg on a piece of scrap metal. She goes back to the party, and later realizes that her injury is much more severe than she had thought. There's a huge, ugly gouge all the way up her shin, and she's bleeding profusely. She goes to a doctor, who patches her up and tells her she might need a skin graft. But Esther becomes obsessed with the wound. She won't let it heal, sneaking away during work to cut herself. As her leg becomes an ugly scarred mass, she begins to notice a problem with her arm. Before long, she's alienated Vincent and jeopardized her job with her compulsive, self-destructive behavior. But she continues on her grotesque downward spiral.",2.686234,/8a8vTUtG05JH1kewEv0gZJR2Xwd.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2002-12-04,0,93.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,In My Skin,False,6.3,36
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,15104,tt0255653,en,Tortilla Soup,A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.,4.101369,/7NzySxj2yT9aewXrOOHlP0Gk4CB.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-08-21,4574762,103.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,A comedy to arouse your appetite.,Tortilla Soup,False,5.8,14
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://www.usagi-drop.com/,95853,tt1672214,ja,うさぎドロップ,"Daikichi learns that his recently deceased grandfather has an illegitimate daughter with an unknown mother. The girl's name is Rin and she is just 6 years old. Everybody in Daikichi's family looks at the girl as an embarrassment and wants no part of her. Daikichi, annoyed by his family's attitude, decides to raise Rin by himself. Even though Daikichi himself has no experience raising a child and is still single. The movie is based on Yumi Unita's popular manga series ""Usagi Drop"".",0.978779,/nwBEWBfbWowSFujX0KHUtD8QgFm.jpg,"[{'name': 'Showgate', 'id': 17392}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2011-08-20,0,114.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Bunny Drop,False,6.7,11
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",http://www.andsoonthedarkness.com,33107,tt1391034,en,And Soon the Darkness,"When two American girls on a bike trip in a remote part of Argentina split up and one of them goes missing, the other must find her before her worst fears are realized.",6.904518,/jucoq5jnIwS44ykgLEgCdYD3B0K.jpg,"[{'name': 'StudioCanal', 'id': 694}, {'name': 'Abandon Pictures', 'id': 2289}, {'name': 'Sandbar Pictures', 'id': 3898}, {'name': 'Anchor Bay Entertainment', 'id': 16839}, {'name': 'Redrum Films', 'id': 49092}, {'name': 'Utópica Cine', 'id': 51901}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-02-25,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Alone. Stranded. No One to Trust.,And Soon the Darkness,False,5.0,106
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",,105989,tt1043585,en,Zombi: La creazione,"A woman floating on a raft in the middle of the Pacific. She was found by a rescue team and taken ashore. Once there, she tells a story of how she escaped from an island full of zombies. She was persuaded to lead a commando unit to the island to explore.",0.126624,/m5CSnXIRtRAjI6qYtvdDSmzY8Dm.jpg,"[{'name': 'Diamonds International Film', 'id': 22030}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2007-05-01,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When the dead first walked, they had no time for appetizers.",Zombies: The Beginning,False,6.0,2
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,48645,tt0042829,en,Pagan Love Song,"Island girl Mimi (Esther Williams) plans to leave Tahiti, but maybe she'll have a reason to stay when Mr. Endicott (Howard Keel) arrives. Gorgeous, frothy fun with pristine Hawaiian locations filling in for Tahiti.",0.521697,/iptyVmZEH3oRAatBOh6Cqgpmfn6.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1950-12-26,0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,SOUTH SEAS TECHNICOLOR MUSICAL!,Pagan Love Song,False,6.0,1
False,,0,"[{'id': 18, 'name': 'Drama'}]",,133148,tt0073134,en,Hustling,"Based on Gail Sheehy's book, this film chronicles how a reporter for a New York City magazine decided to investigate the city's prostitution industry to find out just who was making all the money. What she found out caused a firestorm of controversy--that many of the city's richest and most powerful families and corporations benefited directly and indirectly from the illegal sex business.",0.61473,/nPAwCj5Q6Qd0RBqk6KHZnYm8bJg.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1975-02-22,0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Hustling,False,4.0,1
False,,18000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,7972,tt0292963,en,Before the Devil Knows You're Dead,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",9.309967,/egIP0s1ws6fGHqTsVqVNcaEa5i2.jpg,"[{'name': 'Capitol Films', 'id': 826}, {'name': 'Linsefilm', 'id': 2286}, {'name': 'Unity Productions', 'id': 2287}, {'name': 'Michael Cerenzie Productions', 'id': 2288}, {'name': 'Funky Buddha Productions', 'id': 11542}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-09-26,25005257,117.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No one was supposed to get hurt.,Before the Devil Knows You're Dead,False,6.9,359
False,,117000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",http://www.knightanddaymovie.com,37834,tt1013743,en,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",12.758942,/a7JmOBMNj5erYTgt4u1mQgvHItu.jpg,"[{'name': 'Tree Line Films', 'id': 84}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Pink Machine', 'id': 21845}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-06-15,261930431,109.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Every Hit Man Deserves a Second Shot!,Knight and Day,False,5.9,1583
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,31544,tt0102045,en,The Hitman,"After surviving an attempt on his life by his former partner, officer Cliff Garrett (Norris) exacts revenge on those who wronged him by going undercover as a hit man. He works to gain the reputation and trust needed in order to be accepted by the burgeoning Seattle-area criminal underworld, but it is all done in order to take it down from within.",5.46508,/qehXRfmOXJQn9vubPjQIf1H7s2U.jpg,"[{'name': 'Twilight Motion Picture Seven Ltd. Partnership', 'id': 8614}, {'name': 'Cannon Pictures', 'id': 16337}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-05-01,4654288,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's so far undercover he may never get back.,The Hitman,False,5.3,26
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",https://www.epicbuzz.net/movies/karachi-se-lahore,357441,tt4590482,en,Karachi se Lahore,A road trip from Karachi to Lahore where 5 friends discover themselves and the country amidst getting to their destination.,0.087996,/xpzhyTnsuS2eX2eYb8SUCotbovn.jpg,[],"[{'iso_3166_1': 'PK', 'name': 'Pakistan'}]",2015-07-31,0,0.0,"[{'iso_639_1': 'ur', 'name': 'اردو'}]",Released,,Karachi se Lahore,False,8.0,1
False,,3000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,57544,tt0168080,es,Muertos de risa,"Nino and Bruno are two comedians who reach the heights of success with their duo act, turning them into huge TV celebrities. However, the hate between them grows as fast, and as much, as their fame",0.396431,/9pTnAwFOUt5NSOcKkeuNW46cwws.jpg,[],[],1999-03-12,0,113.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,El pueblo los adoraba. Ellos se odiaban. Esta es su historia,Dying of Laughter,False,6.1,18
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,85753,tt0107811,en,Perry Mason: The Case of the Killer Kiss,"On the set of a popular daytime soap opera 'Mile High', actress Kris Buckner is being forced off by co-star Mark Stratton. When she says that she'll 'kill him before she leaves the show', she makes herself the prime suspect when Stratton is murdered by someone poisoning him. As an old friend, Perry Mason comes to the help of Kris and agrees to defend her. Meanwhile Ken goes in search of information with the help of fan of the show.",0.391217,/9RGyO0Ybm0hoEZJOndgI1jPio8U.jpg,"[{'name': 'Dean Hargrove Productions', 'id': 56689}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-11-29,0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Perry Mason: The Case of the Killer Kiss,False,6.0,1
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,174371,tt2393799,en,Flex Is Kings,"Journey to the edge of Brooklyn and of street performance itself in this sparkling portrait of the freeing power of art. Reem is the savvy promoter, Flizzo the undefeated local legend, Jay Donn the innovator with the talent to carry him far away from home. Uniting them is a competitive dance form of dramatic contortions, simulated violence, flowing footsteps and the occasional humorous touch. Welcome to the world of Flex.",0.528214,/26OSDnhAqc4k9euYqPsGrL6ADZp.jpg,[],[],2013-04-18,0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In Brooklyn, every dance is a battle",Flex Is Kings,False,6.3,2
False,,900000,"[{'id': 53, 'name': 'Thriller'}]",,96631,tt1951218,en,Piggy,"London, modern day: Joe, a mild mannered young man is bored by his life. When his beloved brother is murdered Joe finds solace in Piggy, one of his brother's old friends. Piggy helps Joe to cope with grief, intent on saving him and helping him get justice for his brother's killing. As their friendship grows Joe finds himself in an increasing dangerous and murky world of violence and revenge. As Joe life collapses around him he starts to question who Piggy really is, and how honest he's really been with him. When Joe confronts Piggy a series of events are put in place that lead to a disastrous climax. Written by Anonymous  (IMDb.com).",3.169856,/sgGvWkIM6ayUDtpL12FUh9V6hEU.jpg,"[{'name': 'Fulwell 73', 'id': 5505}, {'name': 'DP Films', 'id': 13584}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2012-05-03,0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"""It's a Terrible Thing That Happened""",Piggy,False,5.2,16
False,,0,"[{'id': 16, 'name': 'Animation'}]",,220653,tt0149578,en,Abou Ben Boogie,"Abou Ben Boogie  Release Date: 9/18/44  Direction: James Cullhane  Story: Ben Hardaway and Milt Schaffer  Animation Layout: Art Heinemann  Animation: Paul Smith  Musical Arrangement: Darrell Calker  Backgrounds: Philip DeGuard  Lyrics: Tot Seymour  Music: Vee Lawnhurst  Notes:  Production Number: D-7  A Swing Symphony cartoon  The second and final appearance of ""Miss X.""  Michael Fitzgerald incorrectly lists this cartoon as an August release.  Click here to see Abou Ben Boogie sheet music.  Some animation of ""Miss X"" by Pat Matthews, deemed ""too sexy,"" was cropped out of Castle Films home use prints.",0.00695,/9vJqfsXt6MP6Lr6v0Ey0K4lbT1L.jpg,"[{'name': 'Walter Lantz Productions', 'id': 8520}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1944-09-18,0,7.0,[],Released,,Abou Ben Boogie,False,0.0,0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,191566,tt1946310,en,Crazy Kind of Love,A broken family finds their relationships to one another changed by a new arrival in the household.,7.471364,/t2cm8kBBlkKxUtVvq1f8q8uXdF0.jpg,"[{'name': 'Lighthouse Home Entertainment', 'id': 18903}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-05-31,0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Crazy Kind of Love,False,5.6,16
